time,level,year,sin_month,cos_month,sin_dayofyear,cos_dayofyear
2017-02-09,11.481718749999999,2017,0.8660254037844386,0.5000000000000001,0.6350683134867438,0.7724559775191742
2017-02-10,11.479708333333333,2017,0.8660254037844386,0.5000000000000001,0.6482618097757122,0.7614175109532997
2017-02-11,11.474583333333333,2017,0.8660254037844386,0.5000000000000001,0.6612634749656386,0.7501537286959042
2017-02-12,11.472927083333333,2017,0.8660254037844386,0.5000000000000001,0.6740694616546161,0.7386679638813748
2017-02-13,11.467822916666668,2017,0.8660254037844386,0.5000000000000001,0.6866759803451553,0.726963615332308
2017-02-14,11.463447916666667,2017,0.8660254037844386,0.5000000000000001,0.6990793005655562,0.7150441465537444
2017-02-15,11.463322916666668,2017,0.8660254037844386,0.5000000000000001,0.7112757519738152,0.7029130847082615
2017-02-16,11.466833333333334,2017,0.8660254037844386,0.5000000000000001,0.7232617254437388,0.6905740195722294
2017-02-17,11.490770833333334,2017,0.8660254037844386,0.5000000000000001,0.7350336741329412,0.6780306024735382
2017-02-18,11.5001875,2017,0.8660254037844386,0.5000000000000001,0.746588114532413,0.6652865452111116
2017-02-19,11.504015384615384,2017,0.8660254037844386,0.5000000000000001,0.7579216274973472,0.6523456189565257
2017-02-20,11.51002105263158,2017,0.8660254037844386,0.5000000000000001,0.7690308592589181,0.6392116531380588
2017-02-21,11.5196,2017,0.8660254037844386,0.5000000000000001,0.7799125224167177,0.6258885343075018
2017-02-22,11.54246875,2017,0.8660254037844386,0.5000000000000001,0.7905633969115482,0.612380204990065
2017-02-23,11.573746031746031,2017,0.8660254037844386,0.5000000000000001,0.8009803309782905,0.5986906625177214
2017-02-24,11.613645833333335,2017,0.8660254037844386,0.5000000000000001,0.8111602420785621,0.5848239578463322
2017-02-25,11.627107692307693,2017,0.8660254037844386,0.5000000000000001,0.8211001178128892,0.5707841943569036
2017-02-26,11.73809375,2017,0.8660254037844386,0.5000000000000001,0.8307970168121247,0.5565755266413303
2017-02-27,11.737736842105264,2017,0.8660254037844386,0.5000000000000001,0.8402480696078469,0.5422021592729844
2017-02-28,11.705061538461537,2017,0.8660254037844386,0.5000000000000001,0.8494504794814806,0.527668345562516
2017-03-01,11.657305263157895,2017,1.0,6.123233995736766e-17,0.8584015232918917,0.512978386299228
2017-03-02,11.63309375,2017,1.0,6.123233995736766e-17,0.8670985522812081,0.4981366284784055
2017-03-03,11.620692307692309,2017,1.0,6.123233995736766e-17,0.8755389928586302,0.4831474640149687
2017-03-04,11.606452631578948,2017,1.0,6.123233995736766e-17,0.8837203473619977,0.4680153284438345
2017-03-05,11.595538461538462,2017,1.0,6.123233995736766e-17,0.8916401947968874,0.45274469960737107
2017-03-06,11.59977894736842,2017,1.0,6.123233995736766e-17,0.8992961915530253,0.4373400963303323
2017-03-07,11.585374999999999,2017,1.0,6.123233995736766e-17,0.9066860720977985,0.4218060770826634
2017-03-08,11.569916666666666,2017,1.0,6.123233995736766e-17,0.9138076496466615,0.40614723863057883
2017-03-09,11.563541666666666,2017,1.0,6.123233995736766e-17,0.9206588168102428,0.3903682146763026
2017-03-10,11.555135416666666,2017,1.0,6.123233995736766e-17,0.9272375462179537,0.374473674486883
2017-03-11,11.54078125,2017,1.0,6.123233995736766e-17,0.9335418911179212,0.35846832151248087
2017-03-12,11.531572916666667,2017,1.0,6.123233995736766e-17,0.9395699859530622,0.342356891994542
2017-03-13,11.524145833333334,2017,1.0,6.123233995736766e-17,0.945320046913132,0.3261441535642696
2017-03-14,11.5193125,2017,1.0,6.123233995736766e-17,0.9507903724625832,0.3098349038318025
2017-03-15,11.515458333333333,2017,1.0,6.123233995736766e-17,0.9559793438440766,0.2934339689665273
2017-03-16,11.511083333333332,2017,1.0,6.123233995736766e-17,0.9608854255574977,0.27694620226893646
2017-03-17,11.51340625,2017,1.0,6.123233995736766e-17,0.9655071658143364,0.2603764827344581
2017-03-18,11.544052083333334,2017,1.0,6.123233995736766e-17,0.969843196967294,0.24372971360968387
2017-03-19,11.542375,2017,1.0,6.123233995736766e-17,0.9738922359149924,0.22701082094141847
2017-03-20,11.593302083333333,2017,1.0,6.123233995736766e-17,0.9776530844816641,0.2102247521189836
2017-03-21,11.682072916666668,2017,1.0,6.123233995736766e-17,0.981124629771712,0.19337647441020586
2017-03-22,11.666614583333333,2017,1.0,6.123233995736766e-17,0.984305844499033,0.17647097349152166
2017-03-23,11.628156250000002,2017,1.0,6.123233995736766e-17,0.9871957872910085,0.15951325197263655
2017-03-24,11.59725,2017,1.0,6.123233995736766e-17,0.9897936029670716,0.14250832791617088
2017-03-25,11.576760416666666,2017,1.0,6.123233995736766e-17,0.992098522791769,0.12546123335273648
2017-03-26,11.560802083333334,2017,1.0,6.123233995736766e-17,0.9941098647022418,0.10837701279187609
2017-03-27,11.550197916666667,2017,1.0,6.123233995736766e-17,0.9958270335100595,0.09126072172931188
2017-03-28,11.545153846153847,2017,1.0,6.123233995736766e-17,0.9972495210773451,0.07411742515094437
2017-03-29,11.544894736842107,2017,1.0,6.123233995736766e-17,0.998376906467142,0.056952196034039754
2017-03-30,11.547864583333334,2017,1.0,6.123233995736766e-17,0.9992088560679753,0.03977011384605572
2017-03-31,11.557385416666667,2017,1.0,6.123233995736766e-17,0.9997451236925734,0.022576263041545485
2017-04-01,11.552520833333332,2017,0.8660254037844387,-0.4999999999999998,0.9999855506507186,0.005375731557583884
2017-04-02,11.543916666666666,2017,0.8660254037844387,-0.4999999999999998,0.9999300657962057,-0.011826390691832589
2017-04-03,11.535958333333333,2017,0.8660254037844387,-0.4999999999999998,0.9995786855478958,-0.029025013321975237
2017-04-04,11.5303125,2017,0.8660254037844387,-0.4999999999999998,0.9989315138848577,-0.046215046983708354
2017-04-05,11.528541666666667,2017,0.8660254037844387,-0.4999999999999998,0.9979887423155984,-0.06339140486951038
2017-04-06,11.523364583333333,2017,0.8660254037844387,-0.4999999999999998,0.9967506498213929,-0.08054900421874167
2017-04-07,11.521364583333332,2017,0.8660254037844387,-0.4999999999999998,0.9952176027737294,-0.09768276782171598
2017-04-08,11.519234375,2017,0.8660254037844387,-0.4999999999999998,0.9933900548258936,-0.11478762552212701
2017-04-09,11.519895833333335,2017,0.8660254037844387,-0.4999999999999998,0.9912685467787256,-0.13185851571739118
2017-04-10,11.523416666666668,2017,0.8660254037844387,-0.4999999999999998,0.9888537064205885,-0.1488903868564548
2017-04-11,11.518229166666666,2017,0.8660254037844387,-0.4999999999999998,0.986146248341595,-0.16587819893463143
2017-04-12,11.538229166666667,2017,0.8660254037844387,-0.4999999999999998,0.9831469737221499,-0.1828169249850199
2017-04-13,11.54425,2017,0.8660254037844387,-0.4999999999999998,0.9798567700958665,-0.1997015525660636
2017-04-14,11.54753125,2017,0.8660254037844387,-0.4999999999999998,0.9762766110869321,-0.21652708524481437
2017-04-15,11.580322916666667,2017,0.8660254037844387,-0.4999999999999998,0.9724075561219968,-0.23328854407545518
2017-04-16,11.612510416666666,2017,0.8660254037844387,-0.4999999999999998,0.9682507501166718,-0.2499809690726521
2017-04-17,11.596354166666666,2017,0.8660254037844387,-0.4999999999999998,0.9638074231367307,-0.26659942067929354
